Component,Type,Version in Repo,OpenStack Software Version,Latest Upstream Version,OpenStack Release Name,Compatibility,Recommended Upstream,Source Path,Notes,Comments,OpenStack Version (Numeric)
jsonschema,python-package,4.21.1,Unknown,4.25.1,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
jsonschema-specifications,python-package,2023.12.1,antelope v1,2025.9.1,Antelope,❌ Mismatch,dalmatian v2.208,dev-requirements.txt,,,2023.1
markdown-it-py,python-package,3.0.0,Unknown,4.0.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
mdurl,python-package,0.1.2,Unknown,0.1.2,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
mypy-extensions,python-package,1.0.0,Unknown,1.1.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
pathspec,python-package,0.12.1,Unknown,0.12.1,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
platformdirs,python-package,4.2.0,Unknown,4.5.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
pygments,python-package,2.17.2,Unknown,2.19.2,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
referencing,python-package,0.33.0,Unknown,0.37.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
reno,python-package,4.0.0,Unknown,4.1.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
rich,python-package,13.7.0,Unknown,14.2.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
rpds-py,python-package,0.17.1,Unknown,0.30.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
subprocess-tee,python-package,0.4.1,Unknown,0.4.2,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
tomli,python-package,2.0.1,Unknown,2.3.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
typing-extensions,python-package,4.9.0,Unknown,4.15.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
wcmatch,python-package,8.5,Unknown,10.1,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
yamllint,python-package,1.35.1,Unknown,1.37.1,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
pre_commit,python-package,4.1.0,Unknown,4.5.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
octavia_preconf.amphora_image_version,ansible-role-var,focal,Unknown,N/A,Unknown,Unknown,Unknown,ansible/roles/octavia_preconf/defaults/main.yml,Ansible role variable,,Unknown
actions/checkout,github-action,v3,Unknown,N/A,Unknown,Unknown,Unknown,.github/workflows/genestack-intel.yml,GitHub Action,,Unknown
actions/setup-python,github-action,v4,Unknown,N/A,Unknown,Unknown,Unknown,.github/workflows/genestack-intel.yml,GitHub Action,,Unknown
python-version,ci-cd-tool,3.x,Unknown,N/A,Unknown,Unknown,Unknown,.github/workflows/genestack-intel.yml,CI/CD tool version,,Unknown
actions/checkout,github-action,v3,Unknown,N/A,Unknown,Unknown,Unknown,.github/workflows/genestack-intel-suite.yml,GitHub Action,,Unknown
actions/setup-python,github-action,v4,Unknown,N/A,Unknown,Unknown,Unknown,.github/workflows/genestack-intel-suite.yml,GitHub Action,,Unknown
python-version,ci-cd-tool,3.x,Unknown,N/A,Unknown,Unknown,Unknown,.github/workflows/genestack-intel-suite.yml,CI/CD tool version,,Unknown
mariadb,generic-image,11.4.3,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/mariadb-cluster/base/mariadb-replication.yaml,Image: docker-registry1.mariadb.com/library/mariadb,,Unknown
kubernetes-entrypoint,generic-image,"latest""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/ovn/base/ovn-setup.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/kubernetes-entrypoint",,Unknown
k8s,generic-image,1.26.11,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/ovn/base/ovn-setup.yaml,Image: alpine/k8s,,Unknown
ovs,generic-image,"v3.5.1-latest""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/ovn/base/ovn-setup.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/ovs",,Unknown
k8s,generic-image,1.26.11,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/ovn/base/ovn-setup.yaml,Image: alpine/k8s,,Unknown
description,generic-image, Image,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,Image: description,,Unknown
description,generic-image, Image,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,Image: description,,Unknown
type,generic-image, string,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,Image: type,,Unknown
description,generic-image, Image,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,Image: description,,Unknown
description,generic-image, Image,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,Image: description,,Unknown
ceph,generic-image,master,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/operator.yaml,Image: rook/ceph,,Unknown
pullPolicy,generic-image, IfNotPresent,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/vault-secrets-operator/base/values.yaml,Image: pullPolicy,,Unknown
pullPolicy,generic-image, IfNotPresent,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/vault-secrets-operator/base/values.yaml,Image: pullPolicy,,Unknown
mariadb,generic-image,11.4.3,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/grafana/base/grafana-database.yaml,Image: docker-registry1.mariadb.com/library/mariadb,,Unknown
repository,generic-image," ""hashicorp/vault-k8s""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/vault/base/values.yaml,Image: repository,,Unknown
repository,generic-image," ""hashicorp/vault""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/vault/base/values.yaml,Image: repository,,Unknown
repository,generic-image," ""hashicorp/vault-csi-provider""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/vault/base/values.yaml,Image: repository,,Unknown
repository,generic-image," ""hashicorp/vault""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/vault/base/values.yaml,Image: repository,,Unknown
ceph,generic-image,v18.2.1,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-cluster-external-pvc/base/toolbox.yaml,Image: quay.io/ceph/ceph,,Unknown
ceph,generic-image,v18.2.2,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-cluster-external-pvc/base/cluster-on-pvc.yaml,Image: quay.io/ceph/ceph,,Unknown
kube-ovn,generic-image,v1.13.13,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/ovn-backup/base/ovn-backup.yaml,Image: docker.io/kubeovn/kube-ovn,,Unknown
etcd-backup,generic-image,v0.0.5,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/backups/base/etcd/etcd-backup.yaml,Image: csengteam/etcd-backup,,Unknown
etcd-backup,generic-image,v0.0.5,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/backups/base/etcd/etcd-backup.yaml,Image: csengteam/etcd-backup,,Unknown
kubernetes-entrypoint,generic-image,"latest""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/kubernetes-entrypoint",,Unknown
heat,generic-image,"2024.1-latest""",caracal v1,N/A (requires registry access),Caracal,❌ Mismatch,dalmatian v2.208,base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/heat",,2024.1
yq,generic-image,"latest""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/linuxserver/yq",,Unknown
skyline,generic-image,"2024.2-latest""",dalmatian v2,N/A (requires registry access),Dalmatian,OK,dalmatian v2,base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/skyline",,2024.2
skyline,generic-image,"2024.2-latest""",dalmatian v2,N/A (requires registry access),Dalmatian,OK,dalmatian v2,base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/skyline",,2024.2
ceph,generic-image,v18.2.1,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-cluster/base/toolbox.yaml,Image: quay.io/ceph/ceph,,Unknown
ceph,generic-image,v18.2.2,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-kustomize/rook-cluster/base/rook-cluster.yaml,Image: quay.io/ceph/ceph,,Unknown
jessie-dnsutils,generic-image,1.3,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,manifests/utils/utils-dnsutils.yaml,Image: registry.k8s.io/e2e-test-images/jessie-dnsutils,,Unknown
openstack-client,generic-image,latest,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,manifests/utils/utils-openstack-client-admin.yaml,Image: ghcr.io/rackerlabs/genestack-images/openstack-client,,Unknown
k8s,generic-image,1.26.11,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,manifests/utils/utils-kubectl.yaml,Image: alpine/k8s,,Unknown
{get_param,generic-image, image_name,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,testing/build.yaml,Image: {get_param,,Unknown
{get_param,generic-image, image_name,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,testing/build.yaml,Image: {get_param,,Unknown
